Age,Length
2,20.1
4,33
5,37.5
6,42.3
7,47.9
8,55
9,57.8
1,14.3
2,16.6
4,33
5,38.1
6,42.3
7,47.7
8,56.5
6,57
3,38
5,51
6,56
6,56
6,52
7,62
6,58
6,59
6,58
6,57
6,57
6,56
4,41
4,40
8,64
5,54
5,51
5,53
6,57
6,59
6,56
6,58
5,54
4,45
4,41
7,63
6,57
2,31
4,51
4,52
5,56
4,50
4,49
3,42
1,21
4,50
3,43
3,41
1,21
1,21
1,22
1,25
1,21
1,20
1,21
3,38
1,22
5,55
1,22
1,23
1,20
1,23
3,45
3,43
5,57
3,44
5,52
3,47
3,43
3,44
3,43
5,56
4,53
4,50
4,48
3,46
3,47
3,43
3,42
3,45
3,44
3,41
2,33
2,32
3,47
4,52
4,49
3,43
3,46
3,40
3,40
2,34
1,25
3,46
3,45
2,33
6,53
5,49
5,49
2,25
2,25
5,49
7,60
5,50
4,44
2,24
6,56
3,36
4,46
6,55
7,61
7,61
2,26
6,56
7,61
6,57
5,50
6,53
4,47
3,40
2,25
5,49
5,49
7,59
7,60
6,57
7,62
6,58
6,57
2,27
4,44
6,54
6,52
3,40
5,53
6,60
6,60
2,33
2,30
2,32
2,27
2,29
2,29
2,26
6,59
5,55
6,57
4,48
5,51
2,28
2,29
2,29
6,59
6,59
6,57
6,59
4,48
4,49
5,53
6,55
6,55
4,50
4,47
5,53
6,57
2,32
5,53
5,52
4,49
6,60
5,55
5,53
5,50
5,55
4,49
5,50
5,50
5,53
6,53
5,54
5,50
5,48
5,51
5,50
5,52
5,47
5,50
5,50
5,50
5,50
5,49
6,56
5,50
5,52
5,53
5,52
5,50
5,52
6,57
5,50
5,49
5,49
6,54
6,58
8,66
6,55
5,51
6,54
6,53
7,61
7,62
6,52
3,38
3,38
3,34
3,36
8,67
3,35
2,34
3,39
3,35
3,37
2,33
2,34
2,31
3,38
3,38
3,36
1,25
3,37
2,33
3,35
3,39
5,52
5,54
3,39
3,37
2,34
2,31
6,59
6,60
5,52
5,50
6,55
6,59
6,60
6,56
5,50
5,51
3,43
4,50
3,40
3,43
3,41
3,39
6,57
3,40
5,56
2,34
3,44
3,42
3,39
4,48
6,60
5,56
4,46
4,45
2,36.27
3,39.78
3,37.44
3,43.29
3,46.8
3,42.12
3,39.78
3,38.61
5,60.84
6,50.31
0,2.574
0,2.34
0,2.223
0,2.691
0,2.808
0,2.808
0,3.51
1,16.38
2,23.4
2,25.74
3,36.27
3,37.44
3,32.76
3,32.76
3,32.76
3,32.76
3,36.27
3,35.1
3,36.27
3,30.42
3,35.1
3,25.74
3,26.91
3,29.25
3,28.08
3,31.59
3,28.08
3,35.1
3,31.59
3,32.76
3,29.25
3,33.93
3,35.1
3,31.59
3,28.08
3,32.76
3,37.44
3,30.42
3,30.42
3,29.25
3,28.08
3,30.42
3,30.42
3,32.76
3,29.25
3,31.59
3,30.42
3,33.93
3,32.76
3,32.76
3,37.44
3,32.76
3,33.93
3,31.59
3,35.1
3,32.76
4,42.12
4,39.78
4,40.95
4,43.29
4,38.61
4,42.12
4,46.8
4,42.12
4,43.29
4,47.97
4,38.61
4,45.63
4,43.29
4,36.27
4,44.46
4,40.95
4,36.27
4,44.46
4,37.44
4,38.61
4,36.27
4,36.27
4,40.95
4,40.95
4,38.61
4,39.78
4,39.78
4,42.12
4,40.95
4,38.61
4,40.95
5,52.65
5,56.16
6,52.65
6,62.01
6,60.84
7,60.84
2,42.12
2,33.93
2,33.93
2,38.61
2,32.76
2,32.76
2,38.61
3,39.78
3,42.12
3,44.46
3,38.61
3,40.95
3,39.78
3,38.61
3,40.95
3,39.78
3,45.63
3,46.8
3,40.95
3,39.78
3,42.12
3,42.12
3,40.95
3,46.8
3,39.78
3,44.46
3,39.78
3,40.95
3,45.63
3,39.78
3,38.61
3,39.78
3,42.12
3,44.46
3,44.46
3,40.95
3,40.95
3,42.12
3,40.95
3,38.61
3,43.29
3,39.78
3,45.63
3,44.46
3,38.61
3,38.61
3,38.61
3,40.95
3,42.12
4,51.48
4,47.97
4,45.63
4,51.48
4,50.31
4,42.12
4,45.63
5,53.82
5,52.65
6,58.5
3,42.12
3,40.95
3,40.95
4,43.29
5,51.48
5,53.82
5,52.65
8,64.35
8,58.5
8,62.01
8,60.84
10,73.71
2,38.61
3,40.95
3,40.95
4,45.63
4,44.46
4,43.29
4,44.46
4,44.46
5,46.8
7,56.16
9,64.35
4,37.44
4,37.44
4,36.27
4,38.61
4,35.1
4,37.44
5,43.29
5,43.29
6,51.48
1,14.04
1,12.87
1,12.87
2,23.4
2,23.4
2,21.06
2,21.06
3,33.93
3,29.25
4,42.12
5,45.63
5,45.63
5,44.46
5,44.46
5,45.63
5,46.8
6,52.65
6,54.99
6,56.16
7,54.99
7,57.33
8,63.18
8,64.35
2,25.74
2,28.08
2,26.91
2,26.91
2,25.74
2,23.4
2,26.91
4,37.44
5,44.46
5,45.63
5,45.63
5,44.46
5,44.46
5,43.29
6,45.63
6,49.14
6,47.97
6,49.14
6,51.48
7,56.16
7,56.16
8,57.33
4,37.44
4,37.44
4,38.61
5,45.63
6,44.46
6,47.97
6,47.97
6,49.14
6,49.14
6,49.14
6,49.14
6,46.8
6,44.46
6,46.8
6,47.97
6,51.48
6,49.14
7,49.14
7,50.31
7,51.48
7,52.65
7,49.14
7,50.31
7,53.82
4,43.29
4,42.12
5,43.29
5,43.29
5,44.46
5,43.29
5,43.29
5,45.63
6,51.48
6,46.8
6,47.97
7,63.18
3,34.515
4,38.025
4,40.95
4,37.44
4,35.1
4,42.12
4,40.95
4,42.12
4,40.95
4,38.61
4,39.195
4,39.78
4,39.78
4,42.12
4,38.025
4,38.61
4,35.1
4,40.95
4,38.61
4,39.78
4,37.44
4,42.12
4,42.12
4,42.12
4,40.95
4,39.78
4,39.78
4,36.27
4,36.27
5,45.63
5,44.46
5,42.12
5,43.29
5,44.46
5,43.29
5,44.46
5,43.29
5,46.8
5,43.29
5,43.29
6,54.99
6,52.65
6,56.16
6,46.8
7,58.5
1,14.625
2,22.23
2,21.645
2,21.06
3,36.27
3,33.345
3,33.345
3,32.175
3,36.27
3,32.76
3,32.175
3,33.93
4,44.46
5,44.46
5,44.46
6,51.48
6,50.31
6,52.65
6,49.725
7,60.84
2,30.42
2,28.08
3,35.1
5,49.14
6,54.99
6,51.48
6,50.31
3,31.59
6,49.14
6,54.99
2,29.25
6,51.48
2,28.08
2,24.57
3,25.74
3,33.93
3,33.93
3,32.76
3,32.76
3,32.76
3,35.1
3,33.93
3,31.59
3,36.855
3,35.1
3,35.1
3,35.685
3,33.93
3,36.27
4,39.78
5,49.14
6,50.31
9,73.71
4,40.365
5,45.63
5,43.29
5,46.8
5,46.8
5,45.045
6,53.82
6,50.31
6,49.725
6,51.48
6,53.82
6,49.725
6,50.31
6,51.48
6,50.31
6,53.235
6,51.48
6,49.14
6,52.65
6,51.48
7,57.33
7,56.16
8,60.84
8,58.5
9,67.86
