Water body,Species,Year,Age,Length
Curonian Lagoon,Starkis,1965,2,20.1
Curonian Lagoon,Starkis,1965,4,33
Curonian Lagoon,Starkis,1965,5,37.5
Curonian Lagoon,Starkis,1965,6,42.3
Curonian Lagoon,Starkis,1965,7,47.9
Curonian Lagoon,Starkis,1965,8,55
Curonian Lagoon,Starkis,1965,9,57.8
Curonian Lagoon,Starkis,1964,1,14.3
Curonian Lagoon,Starkis,1964,2,16.6
Curonian Lagoon,Starkis,1964,4,33
Curonian Lagoon,Starkis,1964,5,38.1
Curonian Lagoon,Starkis,1964,6,42.3
Curonian Lagoon,Starkis,1964,7,47.7
Curonian Lagoon,Starkis,1964,8,56.5
Curonian Lagoon,Starkis,1979,6,57
Curonian Lagoon,Starkis,1979,3,38
Curonian Lagoon,Starkis,1979,5,51
Curonian Lagoon,Starkis,1979,6,56
Curonian Lagoon,Starkis,1979,6,56
Curonian Lagoon,Starkis,1979,6,52
Curonian Lagoon,Starkis,1979,7,62
Curonian Lagoon,Starkis,1979,6,58
Curonian Lagoon,Starkis,1979,6,59
Curonian Lagoon,Starkis,1979,6,58
Curonian Lagoon,Starkis,1979,6,57
Curonian Lagoon,Starkis,1979,6,57
Curonian Lagoon,Starkis,1979,6,56
Curonian Lagoon,Starkis,1979,4,41
Curonian Lagoon,Starkis,1979,4,40
Curonian Lagoon,Starkis,1979,8,64
Curonian Lagoon,Starkis,1979,5,54
Curonian Lagoon,Starkis,1979,5,51
Curonian Lagoon,Starkis,1979,5,53
Curonian Lagoon,Starkis,1979,6,57
Curonian Lagoon,Starkis,1979,6,59
Curonian Lagoon,Starkis,1979,6,56
Curonian Lagoon,Starkis,1979,6,58
Curonian Lagoon,Starkis,1979,5,54
Curonian Lagoon,Starkis,1979,4,45
Curonian Lagoon,Starkis,1979,4,41
Curonian Lagoon,Starkis,1979,7,63
Curonian Lagoon,Starkis,1979,6,57
Curonian Lagoon,Starkis,1979,2,31
Curonian Lagoon,Starkis,1979,4,51
Curonian Lagoon,Starkis,1979,4,52
Curonian Lagoon,Starkis,1979,5,56
Curonian Lagoon,Starkis,1979,4,50
Curonian Lagoon,Starkis,1979,4,49
Curonian Lagoon,Starkis,1979,3,42
Curonian Lagoon,Starkis,1979,1,21
Curonian Lagoon,Starkis,1979,4,50
Curonian Lagoon,Starkis,1979,3,43
Curonian Lagoon,Starkis,1979,3,41
Curonian Lagoon,Starkis,1979,1,21
Curonian Lagoon,Starkis,1979,1,21
Curonian Lagoon,Starkis,1979,1,22
Curonian Lagoon,Starkis,1979,1,25
Curonian Lagoon,Starkis,1979,1,21
Curonian Lagoon,Starkis,1979,1,20
Curonian Lagoon,Starkis,1979,1,21
Curonian Lagoon,Starkis,1979,3,38
Curonian Lagoon,Starkis,1979,1,22
Curonian Lagoon,Starkis,1979,5,55
Curonian Lagoon,Starkis,1979,1,22
Curonian Lagoon,Starkis,1979,1,23
Curonian Lagoon,Starkis,1979,1,20
Curonian Lagoon,Starkis,1979,1,23
Curonian Lagoon,Starkis,1979,3,45
Curonian Lagoon,Starkis,1979,3,43
Curonian Lagoon,Starkis,1979,5,57
Curonian Lagoon,Starkis,1979,3,44
Curonian Lagoon,Starkis,1979,5,52
Curonian Lagoon,Starkis,1979,3,47
Curonian Lagoon,Starkis,1979,3,43
Curonian Lagoon,Starkis,1979,3,44
Curonian Lagoon,Starkis,1979,3,43
Curonian Lagoon,Starkis,1979,5,56
Curonian Lagoon,Starkis,1979,4,53
Curonian Lagoon,Starkis,1979,4,50
Curonian Lagoon,Starkis,1979,4,48
Curonian Lagoon,Starkis,1979,3,46
Curonian Lagoon,Starkis,1979,3,47
Curonian Lagoon,Starkis,1979,3,43
Curonian Lagoon,Starkis,1979,3,42
Curonian Lagoon,Starkis,1979,3,45
Curonian Lagoon,Starkis,1979,3,44
Curonian Lagoon,Starkis,1979,3,41
Curonian Lagoon,Starkis,1979,2,33
Curonian Lagoon,Starkis,1979,2,32
Curonian Lagoon,Starkis,1979,3,47
Curonian Lagoon,Starkis,1979,4,52
Curonian Lagoon,Starkis,1979,4,49
Curonian Lagoon,Starkis,1979,3,43
Curonian Lagoon,Starkis,1979,3,46
Curonian Lagoon,Starkis,1979,3,40
Curonian Lagoon,Starkis,1979,3,40
Curonian Lagoon,Starkis,1979,2,34
Curonian Lagoon,Starkis,1979,1,25
Curonian Lagoon,Starkis,1979,3,46
Curonian Lagoon,Starkis,1979,3,45
Curonian Lagoon,Starkis,1979,2,33
Curonian Lagoon,Starkis,1980,6,53
Curonian Lagoon,Starkis,1980,5,49
Curonian Lagoon,Starkis,1980,5,49
Curonian Lagoon,Starkis,1980,2,25
Curonian Lagoon,Starkis,1980,2,25
Curonian Lagoon,Starkis,1980,5,49
Curonian Lagoon,Starkis,1980,7,60
Curonian Lagoon,Starkis,1980,5,50
Curonian Lagoon,Starkis,1980,4,44
Curonian Lagoon,Starkis,1980,2,24
Curonian Lagoon,Starkis,1980,6,56
Curonian Lagoon,Starkis,1980,3,36
Curonian Lagoon,Starkis,1980,4,46
Curonian Lagoon,Starkis,1980,6,55
Curonian Lagoon,Starkis,1980,7,61
Curonian Lagoon,Starkis,1980,7,61
Curonian Lagoon,Starkis,1980,2,26
Curonian Lagoon,Starkis,1980,6,56
Curonian Lagoon,Starkis,1980,7,61
Curonian Lagoon,Starkis,1980,6,57
Curonian Lagoon,Starkis,1980,5,50
